ID,Date,Day,Actual_order,Order,Exercise,SetOne_Weight,SetOne_Reps,SetTwo_Weight,SetTwo_Reps,SetThree_Weight,SetThree_Reps,SetFour_Weight,SetFour_Reps,SetFive_Weight,SetFive_Reps,Notes,Workout_ID,Created_At
1,2024-01-18,2,1,A,Barbell back squat,20,14,60,10,80,10,80,8,,,,0,2024-02-24 9:00:00
2,2024-01-18,2,2,B,Split squat,10,8,5,8,,,,,,,,0,2024-02-24 9:00:00
3,2024-01-18,2,3,C,Leg press,150,10,150,10,,,,,,,,0,2024-02-24 9:00:00
4,2024-01-18,2,4,D,Leg extension,72.5,12,72.5,10,,,,,,,,0,2024-02-24 9:00:00
5,2024-01-18,2,5,E,Lying hamstring curl,57.5,10,57.5,10,,,,,,,,0,2024-02-24 9:00:00
6,2024-01-18,2,6,F,Seated calf raise,40,14,14,,,,,,,,,0,2024-02-24 9:00:00
7,2024-01-22,1,1,A,Flat dumbbell chest press,15,12,25,12,25,12,,,,,Try 27.5kg next time,0,2024-02-24 9:00:00
8,2024-01-22,1,2,B,Incline dumbbell chest press,20,12,20,12,,,,,,,30 degrees,0,2024-02-24 9:00:00
9,2024-01-22,1,3,C,Machine shoulder press,30,10,30,10,,,,,,,3 slots above,0,2024-02-24 9:00:00
10,2024-01-22,1,4,D,Kneeling dumbbell lateral raise,7.5,12,7.5,12,,,,,,,,0,2024-02-24 9:00:00
11,2024-01-22,1,5,E,Incline dumbbell curl,10,12,10,12,,,,,,,,0,2024-02-24 9:00:00
12,2024-01-22,1,6,F,Cable rope tricep extension,35,12,35,12,42.5,6,,,,,,0,2024-02-24 9:00:00
13,2024-01-23,2,1,A,Barbell back squat,20,12,60,10,80,10,80,10,,,3 mins to set up and get to end of first warm-up,0,2024-02-24 9:00:00
14,2024-01-23,2,2,C,Leg press,150,12,150,12,,,,,,,,0,2024-02-24 9:00:00
15,2024-01-23,2,3,E,Lying hamstring curl,72.5,12,72.5,5,57.5,7,,,,,,0,2024-02-24 9:00:00
16,2024-01-23,2,4,D,Leg extension,72.5,12,72.5,12,,,,,,,,0,2024-02-24 9:00:00
17,2024-01-23,2,5,B,Split squat,10,8,10,8,,,,,,,Left side weaker,0,2024-02-24 9:00:00
18,2024-01-23,2,6,F,Seated calf raise,40,8,40,8,40,14,,,,,Lactic acid bad in quads,0,2024-02-24 9:00:00